c,r,lam,k3,k4,twice_lam,j,pr930_wall,removed_width,support_floor
276,63325,28621,96842,99421,57242,99421,135785,36364,172203
277,63324,28620,96840,99419,57240,99419,135780,36361,172202
278,63323,28619,96838,99417,57238,99417,135775,36358,172200
279,63322,28618,96837,99415,57236,99415,135770,36355,172199
280,63321,28617,96835,99412,57234,99412,135765,36353,172198
281,63320,28616,96833,99410,57232,99410,135760,36350,172196
282,63319,28615,96831,99408,57230,99408,135755,36347,172195
283,63318,28614,96830,99406,57228,99406,135750,36344,172193
284,63317,28613,96828,99404,57226,99404,135745,36341,172192
285,63316,28612,96826,99402,57224,99402,135740,36338,172190
286,63315,28611,96825,99400,57222,99400,135735,36335,172189
287,63314,28610,96823,99398,57220,99398,135730,36332,172187
288,63313,28609,96821,99396,57218,99396,135725,36329,172186
289,63312,28608,96820,99394,57216,99394,135720,36326,172184
290,63311,28607,96818,99392,57214,99392,135715,36323,172183
291,63310,28606,96816,99389,57212,99389,135710,36321,172182
292,63309,28605,96815,99387,57210,99387,135705,36318,172180
293,63308,28604,96813,99385,57208,99385,135700,36315,172179
294,63307,28603,96811,99383,57206,99383,135695,36312,172177
295,63306,28602,96809,99381,57204,99381,135690,36309,172176
296,63305,28601,96808,99379,57202,99379,135685,36306,172174
297,63304,28600,96806,99377,57200,99377,135680,36303,172173
298,63303,28599,96804,99375,57198,99375,135675,36300,172171
299,63302,28598,96803,99373,57196,99373,135670,36297,172170
300,63301,28597,96801,99371,57194,99371,135665,36294,172168
301,63300,28596,96799,99369,57192,99369,135660,36291,172167
302,63299,28595,96798,99367,57190,99367,135655,36288,172165
303,63298,28594,96796,99364,57188,99364,135650,36286,172164
304,63297,28593,96794,99362,57186,99362,135645,36283,172163
305,63296,28592,96793,99360,57184,99360,135640,36280,172161
306,63295,28591,96791,99358,57182,99358,135635,36277,172160
307,63294,28590,96789,99356,57180,99356,135630,36274,172158
308,63293,28589,96787,99354,57178,99354,135625,36271,172157
309,63292,28588,96786,99352,57176,99352,135620,36268,172155
310,63291,28587,96784,99350,57174,99350,135615,36265,172154
311,63290,28586,96782,99348,57172,99348,135610,36262,172152
312,63289,28585,96781,99346,57170,99346,135605,36259,172151
313,63288,28584,96779,99344,57168,99344,135600,36256,172149
314,63287,28583,96777,99341,57166,99341,135595,36254,172148
315,63286,28582,96776,99339,57164,99339,135590,36251,172147
316,63285,28581,96774,99337,57162,99337,135585,36248,172145
